key,comment,en,zh-cn,ko
config,Home page,Config,配置,설정
speed_ctrl,Home page,Speed ctrl,速度控制,속도 제어
firmware,Home page,Firmware,固件,펌웨어
system,Home page,System,系统,시스템
save,Config page,Save,保存,저장
load,Config page,Load,读取,불러오기
unsaved,Config page,unsaved*,未保存*,저장되지 않음*
speed_control,Speed control page,Speed control,速度控制,속도 제어
smooth,Speed control page,Smooth,平滑,부드럽게
disable_smooth_warning,Speed control page,Sudden speed changes may damage the ESC. Confirm to disable smooth mode?,突然的速度变化可能损坏电调。确认禁用平滑模式？,급격한 속도 변화는 ESC를 손상시킬 수 있습니다. 부드러운 모드를 비활성화할까요?
widget_color,Widget color page,Widget color,控件颜色,위젯 색상
lcd_brightness,LCD brightness page,LCD Brightness,LCD亮度,LCD 밝기
system_widget_color,System page,Widget color,控件颜色,위젯 색상
system_lcd_brightness,System page,LCD brightness,LCD亮度,LCD 밝기
system_factory_reset,System page,Factory Reset,恢复出厂设置,공장 초기화
system_language,System page,Language,语言,언어
system_about,System page,About,关于,정보
factory_reset_confirm,System page,Are you sure to reset to factory settings?,确定要恢复出厂设置吗？,공장 초기화하시겠습니까?
language_english,Language page,English,English,English
language_chinese,Language page,中文(简体),中文(简体),中文(简体)
language_korean,Language page,한국어,한국어,한국어
config_load_first,Config page,Please load settings first,请先读取设置,먼저 설정을 불러오세요
config_save_confirm,Config page,Save settings to AM32?,保存设置到AM32？,설정을 AM32에 저장할까요?
config_load_unsaved_warning,Config page,You have unsaved changes. Load settings from AM32? Unsaved changes will be lost.,您有未保存的更改。从AM32读取设置？未保存的更改将丢失。,저장되지 않은 변경이 있습니다. AM32에서 설정을 불러오면 변경 내용이 사라집니다.
config_back_unsaved_warning,Config page,You have unsaved changes. Are you sure to leave without saving?,您有未保存的更改。确定不保存就离开吗？,저장되지 않은 변경이 있습니다. 저장하지 않고 나가시겠습니까?
config_read_failed,Config page,Failed to read parameters from AM32. Check power or connection.,从AM32读取参数失败。请检查电源或连接。,AM32에서 매개변수 읽기 실패. 전원 또는 연결을 확인하세요.
config_write_failed,Config page,Failed to write parameters to AM32. Check power or connection.,向AM32写入参数失败。请检查电源或连接。,AM32에 매개변수 쓰기 실패. 전원 또는 연결을 확인하세요.
about_hardware_version_format,About page,Hardware version: %s,硬件版本：%s,하드웨어 버전: %s
about_software_version_format,About page,Software version: %s,软件版本：%s,소프트웨어 버전: %s
about_build_time_format,About page,Build time: %s,编译时间：%s,빌드 시간: %s
about_uid_format,About page,UID: %08lX %08lX %08lX,UID：%08lX %08lX %08lX,UID: %08lX %08lX %08lX
speed_format,Speed control page,Speed: %lu%%,速度：%lu%%,속도: %lu%%
select_file,Firmware page,Select file:,选择文件：,파일 선택:
success,Firmware page,success,成功,성공
update_firmware,Firmware page,Update firmware,更新固件,펌웨어 업데이트
no_hex_files_found,Firmware page,No *.hex files found,未找到 *.hex 文件,*.hex 파일이 없습니다
firmware_updating_wait,Firmware page,"Firmware updating, please wait...",固件正在更新，请稍候...,펌웨어 업데이트 중입니다. 잠시 기다려 주세요...
error_unknown,Firmware page,unknown error,未知错误,알 수 없는 오류
error_invalid_path,Firmware page,Invalid file path,无效的文件路径,잘못된 파일 경로
error_invalid_path_length,Firmware page,Invalid file path length,文件路径长度无效,파일 경로 길이가 올바르지 않습니다
error_hex_start_address,Firmware page,Hex file start address is invalid,Hex文件起始地址无效,Hex 파일 시작 주소가 올바르지 않습니다
error_open_hex_failed,Firmware page,Failed to open hex file,打开Hex文件失败,Hex 파일 열기 실패
